ICAO aircraft type designator,description,aircraft_model,role,engine_type,Engines
P2,Landplane,Lockheed P-2 Neptune,Other military,Piston,2
P208,Landplane,Tecnam P2008,Ultralight,Piston,1
P210,Landplane,Cessna P210 Pressurized Centurion,General Aviation,Piston,1
P212,Landplane,Tecnam P2012 Traveller,General Aviation,Piston,2
P220,Landplane,Pottier P-220 Koala,General Aviation,Piston,1
P230,Landplane,Pottier P-230 Panda,General Aviation,Piston,1
P27,Landplane,Gryf P-27 Skyster,General Aviation,Piston,1
P270,Landplane,Pottier P-270 Amster,General Aviation,Piston,1
P28A,Landplane,Piper PA-28 Cherokee/Dakota/Arrow/Warrior,General Aviation,Piston,1
P28B,Landplane,Piper PA-28-235 Cherokee,General Aviation,Piston,1
P28S,Landplane,Piper PA-28R-201T Cherokee Arrow 3,General Aviation,Piston,1
P28R,Landplane,Piper PA-28R-200 Cherokee Arrow,General Aviation,Piston,1
P28T,Landplane,Piper PA-28RT-201 Arrow 4,General Aviation,Piston,1
P28U,Landplane,Piper PA-28RT-201T Turbo Arrow 4,General Aviation,Piston,1
P3,Landplane,Lockheed P-3 Orion,Reconnaissance,Turboprop,4
P32R,Landplane,Piper PA-32R Lance/Saratoga,General Aviation,Piston,1
P32T,Landplane,Piper PA-32RT-300T Turbo Lance 2,General Aviation,Piston,1
P337,Landplane,Cessna P337 Pressurized Skymaster,General Aviation,Piston,2
P38,Landplane,Lockheed P-38 Lightning,Fighter,Piston,2
P39,Landplane,Bell P-39 Airacobra,Fighter,Piston,1
P40,Landplane,Curtiss P-40 Warhawk,Fighter,Piston,1
P46T,Landplane,Piper PA-46-500 TP Meridian,General Aviation,Turboprop,1
P47,Landplane,Republic P-47 Thunderbolt,Fighter,Piston,1
P4Y,Landplane,Consolidated PB4Y-2 Privateer,Bomber,Piston,4
P50,Landplane,Pottier P-50 Bouvreuil,General Aviation,Piston,1
P51,Landplane,North American P-51 Mustang,Fighter,Piston,1
P57,Landplane,Partenavia P-57 Fachiro,General Aviation,Piston,1
P60,Landplane,Pottier P-60 Minacro,_unknown_,Piston,1
P61,Landplane,Northrop P-61 Black Widow,Fighter,Piston,2
P63,Landplane,Bell P-63 Kingcobra,Fighter,Piston,1
P66P,Landplane,Piaggio P.166,General Aviation,Piston,2
P66T,Landplane,Piaggio P-166DL3,General Aviation,Turboprop,2
P68,Landplane,Partenavia P-68 Observer,General Aviation,Piston,2
P68T,Landplane,Partenavia AP-68TP-300 Spartacus,General Aviation,Turboprop,2
P70,Landplane,Pottier P-70,General Aviation,Piston,1
P750,Landplane,Pacific PAC 750XL,General Aviation,Turboprop,1
P8,Landplane,Boeing P-8 Poseidon,Other military,Jet,2
P80,Landplane,Pottier P-80,General Aviation,Piston,1
P82,Landplane,North American P-82 Twin Mustang,Fighter,Piston,2
PA11,Landplane,Piper PA-11 Cub Special,General Aviation,Piston,1
PA12,Landplane,Piper PA-12 Super Cruiser,General Aviation,Piston,1
PA14,Landplane,Piper PA-14 Family Cruiser,General Aviation,Piston,1
PA15,Landplane,Piper PA-15 / PA-17 Vagabond,General Aviation,Piston,1
PA16,Landplane,Piper PA-16 Clipper,General Aviation,Piston,1
PA17,Landplane,Piper PA-17 Vagabond,General Aviation,Piston,1
PA18,Landplane,Piper PA-18 Super Cub,General Aviation,Piston,1
PA20,Landplane,Piper PA-20 Pacer,General Aviation,Piston,1
PA22,Landplane,Piper PA-22 Tri-Pacer,General Aviation,Piston,1
PA23,Landplane,Piper PA-23 Apache/Aztec,General Aviation,Piston,2
PA24,Landplane,Piper PA-24 Comanche,General Aviation,Piston,1
PA25,Landplane,Piper PA-25 Pawnee,Agricultural,Piston,1
PA27,Landplane,Piper PA-23-235 Aztec,General Aviation,Piston,2
PA30,Landplane,Piper PA-30 / PA-39 Twin Comanche,General Aviation,Piston,2
PA31,Landplane,Piper PA-31 Navajo,General Aviation,Piston,2
PA32,Landplane,Piper PA-32 Cherokee Six,General Aviation,Piston,1
PA34,Landplane,Piper PA-34 Seneca,General Aviation,Piston,1
PA36,Landplane,Piper PA-36 Pawnee Brave,Agricultural,Piston,1
PA38,Landplane,Piper PA-38 Tomahawk,General Aviation,Piston,1
PA44,Landplane,Piper PA-44 Seminole,General Aviation,Piston,2
PA46,Landplane,Piper PA-46 Malibu,General Aviation,Piston,1
PA47,Landplane,Piper PA-47 Piper Jet,General Aviation,Jet,1
PAGO,Landplane,Aero Synergie Papango,General Aviation,Piston,1
PANT,Landplane,Rotec Panther,Ultralight,Piston,1
PAR1,Landplane,Paradise PA-1 / PA-2,Ultralight,Piston,1
PAR4,Landplane,Paradise PA-1 / PA-2,Ultralight,Piston,1
PARL,Landplane,Pietenpol Aerial,General Aviation,Piston,1
PAT2,Landplane,ATAC Patriot 2,_unknown_,Piston,1
PAT4,Landplane,Piper PA-31T3-500 T-1040,General Aviation,Turboprop,2
PAUL,Landplane,CAP-4 Paulistinha,Military Trainer,Piston,1
PAV4,Gyrocopter,Carter PAV-4,General Aviation,Piston,1
PAY1,Landplane,Piper PA-31T Cheyenne,General Aviation,Turboprop,2
PAY2,Landplane,Piper PA-31T-620 Cheyenne,General Aviation,Turboprop,2
PAY3,Landplane,Piper PA-42 Cheyenne,General Aviation,Turboprop,2
PAY4,Landplane,Piper PA-42-1000 Cheyenne 400,General Aviation,Turboprop,2
PC12,Landplane,Pilatus PC-12,Passenger Airliner,Turboprop,1
PC21,Landplane,Pilatus PC-21,General Aviation,Turboprop,1
PC24,Landplane,Pilatus PC-24,General Aviation,Jet,2
PC6P,Landplane,Pilatus PC-6 Porter,General Aviation,Piston,1
PC6T,Landplane,Pilatus PC-6 Turbo-Porter,Passenger Airliner,Turboprop,1
PC7,Landplane,Pilatus PC-7 Turbo Trainer,Military Trainer,Turboprop,1
PC9,Landplane,Pilatus PC-9 Hudournik,Military Trainer,Turboprop,1
PCA2,Gyrocopter,Pitcairn-Cierva PCA-2,General Aviation,Piston,1
PDIG,Landplane,Vstol SST-2000 Pairadigm,_unknown_,Piston,2
PECR,Landplane,Pro-Composites Personal Cruiser,Ultralight,Piston,1
PEGA,Landplane,General Avia F-20 Pegaso,General Aviation,Piston,2
PEGZ,Landplane,Tapanee Pegazair-100,Ultralight,Piston,1
PELI,Landplane,Ultravia Pelican,Ultralight,Piston,1
PEMB,Landplane,Percival P-66 Pembroke,Other military,Piston,2
PETL,Landplane,Aero ITBA Petrel,_unknown_,Piston,1
PETR,Amphibian,AAC SeaStar,General Aviation,Piston,1
PGEE,Landplane,Holcomb Perigee,General Aviation,Piston,1
PGK1,Landplane,Western PGK-1 Hirondelle,General Aviation,Piston,1
PHIL,Helicopter,Vtol Aircraft Phillicopter,Helicopter,Piston,1
PHIX,Gyrocopter,Phenix Aviation Phenix,Ultralight,Piston,1
PHNX,Landplane,Freedom Phoenix,Ultralight,Piston,1
PIAE,Landplane,Pipistrel Alpha Electro,General Aviation,Electric,1
PIAT,Landplane,Pipistrel Alpha Trainer,General Aviation,Piston,1
PICO,Landplane,Procaer F-15 Picchio,General Aviation,Piston,1
PILL,Landplane,Enaer T-35D Pillán,Military Trainer,Piston,1
PINO,Landplane,General Avia F-22 Pinguino,General Aviation,Piston,1
PIPA,Landplane,Pipistrel Panthera,General Aviation,Piston,1
PISI,Landplane,Pipistrel Sinus,Glider,No engine,0
PIT4,Landplane,Pipistrel Taurus Electro G4,General Aviation,Electric,1
PITA,Landplane,Pipistrel Taurus,Ultralight,Piston,1
PITE,Landplane,Pipistrel Taurus Electro,Ultralight,Electric,1
PIVI,Landplane,Pipistrel Virus,Ultralight,Piston,1
PK11,Landplane,PIK-11 Tumppu,General Aviation,Piston,1
PK15,Landplane,PIK-15 Hinu,General Aviation,Piston,1
PK18,Landplane,PIK-18 Sytky,Motor-Glider,Piston,1
PK19,Landplane,PIK-19 Muhinu,General Aviation,Piston,1
PK20,Landplane,PIK-20 Tiu,Glider,No engine,0
PK21,Landplane,PIK-21 Super Sytky,General Aviation,Piston,1
PK23,Landplane,PIK-23 Towmaster,General Aviation,Piston,1
PK25,Landplane,PIK-25 Varttimarkka,General Aviation,Piston,1
PKAN,Landplane,Uetz U-3M Pelikan,General Aviation,Piston,1
PL1,Landplane,Pazmany PL-1 Laminar,General Aviation,Piston,1
PL12,Landplane,Transavia PL-12 Airtruk,Agricultural,Piston,1
PL2,Landplane,Pazmany PL-2,General Aviation,Piston,1
PL4,Landplane,Pazmany PL-4,General Aviation,Piston,1
PL9,Landplane,Pazmany PL-9 Stork,General Aviation,Piston,1
PLUS,Landplane,Taylorcraft Plus C,General Aviation,Piston,1
PNR2,Landplane,Alpi Pioneer 200,Ultralight,Piston,1
PNR3,Landplane,Alpi Pioneer 300,Ultralight,Piston,1
PNR4,Landplane,Alpi Pioneer 400,Ultralight,Piston,1
PO2,Landplane,Polikarpov Po-2,General Aviation,Piston,1
PO60,Landplane,Potez 60 Sauterelle,General Aviation,Piston,1
POLI,Landplane,Alvarez Polliwagen,General Aviation,Piston,1
PONY,Amphibian,Reda Pony,_unknown_,Piston,1
PP2,Landplane,Pilatus P-2,Military Trainer,Piston,1
PP3,Landplane,Pilatus P-3,Military Trainer,Piston,1
PPRO,Landplane,Percival P-56 Provost,Military Trainer,Piston,1
PRBP,Landplane,Hughes Australian Pocket Rocket PR-Bipe,General Aviation,Piston,1
PRBR,Landplane,Hughes Australian Pocket Rocket PR-Breeze,General Aviation,Piston,1
PRCE,Landplane,Percival P-57 Sea Prince,General Aviation,Piston,2
PREN,Landplane,Percival P-40 Prentice,Military Trainer,Piston,1
PRET,Landplane,GM&T Pretty Flight,Ultralight,Piston,1
PREX,Landplane,Wilson Private Explorer,General Aviation,Piston,1
PRM1,Landplane,Beechcraft Premier I,Business Jet,Jet,2
PROC,Landplane,Percival P-28 Proctor,Military Trainer,Piston,1
PROT,Landplane,CZAW Parrot,Ultralight,Piston,1
PROW,Landplane,Prowler Jaguar,General Aviation,Piston,1
PRPR,Landplane,Hughes Australian Pocket Rocket PR-XP,General Aviation,Piston,1
PRTS,Landplane,Scaled 281 Proteus,General Aviation,Jet,2
PRXT,Landplane,Private Explorer T-Explorer,General Aviation,Piston,1
PSTM,Landplane,Podesva Stearman,_unknown_,Piston,1
PSW4,Helicopter,PZL SW-4 Puszczyk,Helicopter,Turboprop,1
PT21,Landplane,Pottier P-210 Coati,General Aviation,Piston,1
PT22,Landplane,Ryan PT-22 Recruit,Military Trainer,Piston,1
PT70,Landplane,Pottier P-170,General Aviation,Piston,1
PT80,Landplane,Pottier P-180,General Aviation,Piston,1
PTMS,Landplane,Pitts S-12 Super Stinker,_unknown_,Piston,1
PTRL,Landplane,Nash Petrel,General Aviation,Piston,1
PTS1,Landplane,Pitts S-1 Special,General Aviation,Piston,1
PTS2,Landplane,Pitts S-2 Special,General Aviation,Piston,1
PTSS,Landplane,Pitts S-1-11 Super Stinker,General Aviation,Piston,1
PUL6,Landplane,Pulsar Super Pulsar 600,General Aviation,Piston,1
PULS,Landplane,Aero Designs Pulsar,General Aviation,Piston,1
PUMA,Helicopter,Aerospatiale SA330 Puma,Helicopter,Turboprop,2
PUP,Landplane,Beagle B.121 Pup,General Aviation,Piston,1
PURS,Landplane,Rans S-11 Pursuit,General Aviation,Piston,1
PUSH,Landplane,Prescott Pusher,General Aviation,Piston,1
PW4,Landplane,Politechnika Warszawska PW-4,General Aviation,Piston,1
PZ01,Landplane,PZL-101 Gawron,General Aviation,Piston,1
PZ02,Landplane,PZL-102 Kos,General Aviation,Piston,1
PZ04,Landplane,PZL-104 Wilga,General Aviation,Piston,1
PZ05,Landplane,PZL-105 Flaming,General Aviation,Piston,1
PZ06,Landplane,PZL-106A Kruk,Agricultural,Piston,1
PZ12,Landplane,PZL-112 Koliber Junior,General Aviation,Piston,1
PZ26,Landplane,PZL-126 Mrówka,Agricultural,Piston,1
PZ3T,Landplane,PZL-130 Orlik,General Aviation,Turboprop,1
PZ4M,Landplane,PZL-104M Wilga 2000,General Aviation,Piston,1
PZ6T,Landplane,PZL-106AT Turbo Kruk,Agricultural,Turboprop,1
Q5,Landplane,Nanchang Q-5,Other military,Jet,2
QAIL,Landplane,Aerosport Quail,Ultralight,Piston,1
QALT,Landplane,FMP Qualt,Ultralight,Piston,1
QEST,Landplane,Omni-Weld Questor,_unknown_,Piston,1
QIC2,Landplane,Quickie Q2,General Aviation,Piston,1
QR01,Landplane,Quercy CQR-01,_unknown_,Piston,1
QUAS,Landplane,Aeroalcool Quasar,General Aviation,Piston,1
QUIC,Landplane,Quickie,Ultralight,Piston,1
R100,Landplane,Robin R-1180 Aiglon,General Aviation,Piston,1
R109,Landplane,Kimball DR-109 Rhino,_unknown_,Piston,1
R11,Landplane,Rupert R-11,_unknown_,Piston,1
R135,Landplane,Boeing RC-135,Reconnaissance,Jet,4
R185,Landplane,Johnson Rocket 185,General Aviation,Piston,1
R2,Seaplane,Sau R-02 Robert,_unknown_,Piston,1
R200,Landplane,Alpha 120T/160A/160Ai,General Aviation,Piston,1
R22,Helicopter,Robinson R22,Helicopter,Piston,1
R300,Landplane,Robin R-3000,General Aviation,Piston,1
R4,Helicopter,Sikorsky R-4 Hoverfly,Helicopter,Turboprop,1
R44,Helicopter,Robinson R44 Raven,Helicopter,Piston,1
R66,Helicopter,Robinson R66,Helicopter,Piston,1
R721,Landplane,Boeing 727-100RE Super 27,Passenger Airliner,Jet,3
R722,Landplane,Boeing 727-200RE Super 27,Passenger Airliner,Jet,3
R90F,Landplane,Ruschmeyer R-90-230FG,General Aviation,Piston,1
R90R,Landplane,Ruschmeyer R-90-230RG,General Aviation,Piston,1
R90T,Landplane,Ruschmeyer R-90-420AT,General Aviation,Turboprop,1
RA14,Landplane,Adam RA-14 Loisirs,General Aviation,Piston,1
RA17,Landplane,Adam RA-17,Agricultural,Piston,1
RAF2,Gyrocopter,Rotary Air Force RAF-2000,General Aviation,Piston,1
RAID,Landplane,Flying K Sky Raider,Ultralight,Piston,1
RAIL,Landplane,Aerosport Rail,Ultralight,Piston,1
RALL,Landplane,Socata Rallye,General Aviation,Piston,1
RANG,Landplane,Ryan Navion Rangemaster,General Aviation,Piston,1
RARO,Landplane,New Century Radial Rocket,_unknown_,Piston,1
RAV3,Landplane,Ravin Ravin 300,General Aviation,Piston,1
RAV5,Landplane,Ravin Ravin 500,General Aviation,Piston,1
RAZM,Landplane,Jean Saint Germain Raz-Mut,Ultralight,Piston,1
RBEL,Landplane,Murphy Rebel,General Aviation,Piston,1
RC3,Amphibian,Republic RC-3 Seabee,General Aviation,Piston,1
RC70,Landplane,Rockwell Commander 700,General Aviation,Piston,2
RD03,Landplane,Duruble RD-03 Edelweiss,General Aviation,Piston,1
RD20,Landplane,Denize RD-20 Raid Driver,_unknown_,Piston,1
RDH2,Landplane,Redfern DH-2,General Aviation,Piston,1
RELI,Landplane,Stinson Reliant,General Aviation,Piston,1
RENE,Landplane,Murphy Renegade,General Aviation,Piston,1
REV6,Gyrocopter,Groen Revcon 6G,General Aviation,Turboprop,1
RF10,Landplane,Fournier RF-10,Motor-Glider,Piston,1
RF3,Landplane,Fournier RF-3,Motor-Glider,Piston,1
RF4,Landplane,Fournier RF-4,Motor-Glider,Piston,1
RF47,Landplane,Fournier RF-47,General Aviation,Piston,1
RF5,Landplane,Fournier RF-5,General Aviation,Piston,1
RF6,Landplane,Slingsby T.67 Firefly,General Aviation,Piston,1
RF9,Landplane,Fournier RF-9,Motor-Glider,Piston,1
RFAL,Landplane,Dassault Rafale,Fighter,Jet,2
RGNT,Landplane,Neiva C-42 Regente,General Aviation,Piston,1
RJ03,Landplane,Junqua RJ-03 Ibis,General Aviation,Piston,1
RJ1H,Landplane,Avro RJ-100 Avroliner,Passenger Airliner,Jet,4
RJ70,Landplane,Avro RJ-70 Avroliner,Passenger Airliner,Jet,4
RJ85,Landplane,Avro RJ-85 Avroliner,Passenger Airliner,Jet,4
RK5,Landplane,Kalinauskas RK-5,General Aviation,Piston,1
RLU1,Landplane,RLU-1 Breezy,General Aviation,Piston,1
RMOU,Helicopter,Hillberg EH1-01 Rotormouse,Helicopter,Turboprop,1
RNGR,Landplane,Dac RangeR,_unknown_,Piston,1
ROAR,Landplane,Velocity Rocket Racer,General Aviation,Rocket,1
ROND,Landplane,Ambrosini F-4 Rondone,General Aviation,Piston,1
ROSE,Landplane,Maupin Windrose,Motor-Glider,Piston,1
RP1,Helicopter,Mitsubishi RP-1,Helicopter,Turboprop,2
RPUP,Gyrocopter,Little Wing LW-4 Roto-Pup,General Aviation,Piston,1
RS12,Landplane,Rans S-12 Airaile,General Aviation,Piston,1
RS18,Landplane,Sportavia-Putzer RS-180 Sportsman,General Aviation,Piston,1
RTA4,Landplane,RTAF-4 Chandra,_unknown_,Piston,1
RUBI,Landplane,Scintex ML-250 Rubis,General Aviation,Piston,1
RV10,Landplane,Van's RV-10,General Aviation,Piston,1
RV12,Landplane,Van's RV-12,General Aviation,Piston,1
RV14,Landplane,Van's RV-14,General Aviation,Piston,1
RV3,Landplane,Van's RV-3,General Aviation,Piston,1
RV4,Landplane,Van's RV-4,General Aviation,Piston,1
RV4T,Landplane,Van's RV-4T,General Aviation,Turboprop,1
RV6,Landplane,Van's RV-6,General Aviation,Piston,1
RV7,Landplane,Van's RV-7,General Aviation,Piston,1
RV8,Landplane,Van's RV-8,General Aviation,Piston,1
RV9,Landplane,Van's RV-9,General Aviation,Piston,1
RVAL,Helicopter,Denel AH-2 Rooivalk,Military Helicopter,Turboprop,2
RW19,Landplane,Ragwing RW-19 Stork,General Aviation,Piston,1
RW20,Landplane,Ragwing RW-20 Stork Side by Side,General Aviation,Piston,1
RW22,Landplane,Ragwing RW-22 Tiger Moth,General Aviation,Piston,1
RW26,Landplane,Ragwing RW-26 Special 2,General Aviation,Piston,1
RW3,Landplane,Rhein-West-Flug RW-3 Multoplane,General Aviation,Piston,1
RYST,Landplane,Ryan ST-A,Military Trainer,Piston,1
S05F,Landplane,SIAI-Marchetti S-205-18F,Military Trainer,Piston,1
S05R,Landplane,SIAI-Marchetti S-205-18R,Military Trainer,Piston,1
S1,Landplane,Arctic S-1 Arctic Tern,General Aviation,Piston,1
S10,Landplane,Stinson 10 Voyager,General Aviation,Piston,1
S107,Seaplane,Spratt Model 107,General Aviation,Piston,1
S108,Landplane,Stinson 108,General Aviation,Piston,1
S10S,Landplane,Stemme S-10 Chrysalis,_unknown_,Piston,1
S11,Landplane,Fokker S-11 Instructor,Military Trainer,Piston,1
S12,Amphibian,Spencer S-12 Air Car,General Aviation,Piston,1
S200,Landplane,Sipa S-200 Minijet,General Aviation,Jet,1
S202,Amphibian,SGAU S-202,_unknown_,Piston,2
S208,Landplane,SIAI-Marchetti S-208,Military Trainer,Piston,1
S21,Landplane,MacDonald S-21,General Aviation,Piston,1
S210,Landplane,Sud Aviation SE 210 Caravelle,Passenger Airliner,Jet,2
S211,Landplane,SIAI-Marchetti S-211,Military Trainer,Jet,1
S223,Landplane,MBB 223 Flamingo,General Aviation,Piston,1
S22T,Landplane,Cirrus SR-22 Turbo,General Aviation,Piston,1
S274,Helicopter,IRGC Shahed 274,Military Helicopter,Turboprop,1
S278,Helicopter,HESA Shahed 278,Military Helicopter,Turboprop,1
S285,Helicopter,HESA Shahed 285,Military Helicopter,Turboprop,1
S2P,Landplane,Grumman S-2 Tracker,Other military,Piston,2
S2T,Landplane,Grumman S-2 Turbo Tracker,Other military,Turboprop,2
S3,Landplane,Lockheed S-3 Viking,Reconnaissance,Jet,2
S330,Helicopter,Schweizer 269D 333,Helicopter,Turboprop,1
S360,Helicopter,Aerospatiale SA-360 Dauphin,Helicopter,Turboprop,1
S37,Landplane,Sukhoi Su-47 Berkut (S-37),Fighter,Jet,2
S38,Amphibian,Sikorsky S-38,General Aviation,Piston,2
S39,Amphibian,Sikorsky S-39,General Aviation,Piston,1
S4,Landplane,Arctic S-4 Privateer,_unknown_,Piston,1
S400,Seaplane,SGAU S-400 Kapitan,_unknown_,Piston,2
S434,Helicopter,Sikorsky S-434,Helicopter,Turboprop,1
S45,Landplane,Partenair S-45 Mystere,General Aviation,Piston,1
S450,Landplane,Aero-East-Europe SILA-450,Ultralight,Piston,1
S51,Helicopter,Sikorsky H-5,Helicopter,Piston,1
S51D,Landplane,Stewart S-51D Mustang,General Aviation,Piston,1
S52,Helicopter,Sikorsky S-52,Helicopter,Turboprop,1
S55P,Helicopter,Sikorsky H-19 Chickasaw,Helicopter,Piston,1
S55T,Helicopter,Sikorsky S-55T,Helicopter,Turboprop,1
S58P,Helicopter,Sikorsky SH-34 Seabat,Military Helicopter,Piston,1
S58T,Helicopter,Sikorsky H-34 Choctaw,Military Helicopter,Turboprop,2
S6,Landplane,Stemme S-6,Motor-Glider,Piston,1
S601,Landplane,Aerospatiale SN-601 Corvette,Business Jet,Jet,2
S61,Helicopter,Sikorsky SH-3 Sea King,Helicopter,Turboprop,2
S61R,Helicopter,Sikorsky S-61R,Military Helicopter,Turboprop,2
S62,Helicopter,Sikorsky S-62,Helicopter,Turboprop,1
S64,Helicopter,Sikorsky CH-54 Tarhe,Helicopter,Turboprop,2
S65C,Helicopter,Eurocopter AS365 Dauphin,Helicopter,Turboprop,2
S76,Helicopter,Sikorsky S-76,Helicopter,Turboprop,2
S900,Landplane,Sipa S-90,General Aviation,Piston,1
S92,Helicopter,Sikorsky S-92,Helicopter,Turboprop,2
SA02,Landplane,K & S SA-102.5 Cavalier,General Aviation,Piston,1
SA03,Landplane,K & S SA-103 Cavalier,General Aviation,Piston,1
SA04,Landplane,K & S SA-104 Cavalier,General Aviation,Piston,1
SA05,Landplane,K & S SA-105 Super Cavalier,General Aviation,Piston,1
SA10,Landplane,Stolp SA-100 Starduster,General Aviation,Piston,1
SA11,Landplane,Stits SA-11A Playmate,General Aviation,Piston,1
SA2,Landplane,ICP SA-2 Vimana,General Aviation,Piston,1
SA20,Amphibian,Beriev SA-20P,General Aviation,Piston,1
SA3,Landplane,Stits SA-3A Playboy,General Aviation,Piston,1
SA30,Landplane,Stolp SA-300 Starduster Too,General Aviation,Piston,1
SA37,Landplane,Schweizer SA-2-37 Condor,Reconnaissance,Piston,1
SA38,Landplane,Schweizer SA-2-38A Twin Condor,Reconnaissance,Piston,2
SA50,Landplane,Stolp SA-500 Starlet,General Aviation,Piston,1
SA6,Landplane,Stits SA-6 Flut-R-Bug,General Aviation,Piston,1
SA6E,Landplane,Sreya SA-6 Envoy,_unknown_,Turboprop,1
SA7,Landplane,Stits SA-7 Sky-Coupe,General Aviation,Piston,1
SA70,Landplane,Stolp SA-700 Acroduster,General Aviation,Piston,1
SA75,Landplane,Stolp SA-750 Acroduster Too,General Aviation,Piston,1
SA8T,Landplane,Schweizer SA-2-38B Twin Condor,Reconnaissance,Turboprop,2
SAB2,Landplane,Arnet Pereyra Sabre 2,General Aviation,Piston,1
SABA,Landplane,Paravar Pars Saba,_unknown_,Piston,1
SACE,Landplane,Ace Super Ace,General Aviation,Piston,1
SACR,Landplane,Smith Acro Advanced,_unknown_,Piston,1
SAFF,Landplane,Halsted BH-1 Saffire,General Aviation,Piston,1
SAH1,Landplane,FLS Sprint,General Aviation,Piston,1
SAKO,Landplane,Rans S-10 Sakota,General Aviation,Piston,1
SALB,Landplane,Skygear Albatross,_unknown_,Piston,1
SAM,Landplane,Sam Aircraft Sam,General Aviation,Piston,1
SAND,Seaplane,Short S-25 Sandringham,Passenger Airliner,Piston,4
SAPH,Landplane,Piel CP-1320 Saphir,General Aviation,Piston,1
SASH,Landplane,Shark.Aero Shark,General Aviation,Piston,1
SASP,Landplane,Supermarine Aircraft Spitfire Mk25,General Aviation,Piston,1
SASY,Landplane,ProTech PT-2 Sassy,_unknown_,Piston,1
SATA,Landplane,CASA HA-220 Super Saeta,Military Trainer,Jet,2
SAVA,Landplane,Sadler Vampire,General Aviation,Piston,1
SAVG,Landplane,Zlin Aviation Savage,General Aviation,Piston,1
SB05,Landplane,Saab 105,Military Trainer,Jet,2
SB20,Landplane,Saab 2000,Passenger Airliner,Turboprop,2
SB29,Landplane,Saab 29 Tunnan,Fighter,Jet,1
SB32,Landplane,Saab 32 Lansen,Fighter,Jet,1
SB35,Landplane,Saab 35 Draken,Fighter,Jet,1
SB37,Landplane,Saab 37 Viggen,Fighter,Jet,1
SB39,Landplane,Saab JAS 39 Gripen,Fighter,Jet,1
SB7,Landplane,Seabird SB-7 Seeker,General Aviation,Piston,1
SB91,Landplane,Saab 91 Safir,Military Trainer,Piston,1
SBD,Landplane,Douglas SBD Dauntless,Bomber,Piston,1
SBLS,Landplane,Slipstream SkyBlaster,General Aviation,Piston,2
SBM3,Landplane,E & K SBM-03 Kos,_unknown_,Piston,1
SBOY,Landplane,Interplane Skyboy,General Aviation,Piston,1
SBR1,Landplane,North American Sabreliner,Business Jet,Jet,2
SBR2,Landplane,North American Rockwell Sabre 75,Business Jet,Jet,2
SC01,Landplane,Gyroflug SC-01 Speed Canard,General Aviation,Piston,1
SC7,Landplane,Short SC.7 Skyvan,Passenger Airliner,Turboprop,2
SCAM,Landplane,Aerosport Scamp,General Aviation,Piston,1
SCEP,Landplane,Slipstream Scepter,General Aviation,Piston,1
SCII,Gyrocopter,Sport Copter SportCopter 2,General Aviation,Piston,1
SCOM,Landplane,Skygear Comet,_unknown_,Piston,1
SCOR,Helicopter,Rotorway Scorpion,Helicopter,Piston,1
SCOU,Helicopter,Westland Scout,Military Helicopter,Turboprop,1
SCRO,Landplane,Akaflieg Munchen Mü-30 Schlacro,General Aviation,Piston,1
SCTR,Landplane,Flaglor Scooter,General Aviation,Piston,1
SCUB,Landplane,Aero Kuhlmann Scub,General Aviation,Piston,1
SCW1,Landplane,Scwal 101,_unknown_,Piston,1
SD26,Landplane,Skydancer SD-260,General Aviation,Piston,1
SD4,Landplane,Tomark SD-4 Viper,Ultralight,Piston,1
SDUS,Landplane,Stolp Super Starduster,General Aviation,Piston,1
SE5A,Landplane,Royal Aircraft Factory S.E.5,Fighter,Piston,1
SE5R,Landplane,Replica Plans SE-5A Replica,General Aviation,Piston,1
SEAT,Amphibian,Seawind Turbine Seawind,General Aviation,Turboprop,1
SEAW,Amphibian,Seawind Seawind,General Aviation,Piston,1
SERA,Landplane,Servoplant Aerocraft,Agricultural,Piston,1
SEST,Amphibian,SeaStar SeaStar,General Aviation,Turboprop,1
SF2,Landplane,Viking SF-2 Cygnet,General Aviation,Piston,1
SF23,Landplane,Scheibe SF-23 Sperling,General Aviation,Piston,1
SF24,Landplane,Scheibe SF-24 Motorspatz,Motor-Glider,Piston,1
SF25,Landplane,Scheibe SF-25 Falke,Motor-Glider,Piston,1
SF27,Landplane,Scheibe SF-27 Zugvogel V,Glider,No engine,0
SF28,Landplane,Scheibe SF-28 Tandem-Falke,Motor-Glider,Piston,1
SF31,Landplane,Sportavia-Putzer SFS-31 Milan,Motor-Glider,Piston,1
SF32,Landplane,Scheibe SF-32,_unknown_,Piston,1
SF34,Landplane,Saab 340,Passenger Airliner,Turboprop,2
SF35,Landplane,Scheibe SF-35,_unknown_,Piston,1
SF36,Landplane,Scheibe SF-36,Motor-Glider,Piston,1
SF50,Landplane,Cirrus Vision SF50,Business Jet,Jet,1
SG37,Landplane,Schweizer SGM-2-37,General Aviation,Piston,1
SG70,Landplane,Glass SG-70 STOLGlass,_unknown_,Piston,1
SG92,Landplane,Technoavia SM-92T Turbo Finist,General Aviation,Turboprop,1
SGRA,Landplane,Sg Aviation Rally,General Aviation,Piston,1
SGUP,Landplane,Aero Spacelines 377SGT Super Guppy,Cargo Airliner,Turboprop,4
SH33,Landplane,Short 330,Passenger Airliner,Turboprop,2
SH36,Landplane,Short 360,Passenger Airliner,Turboprop,2
SH4,Helicopter,Silvercraft SH-4,Helicopter,Piston,1
