easa_code,serial_number,eval_type,aircraft_man,aircraft_type,sim_man,qualification,location
ES‐3A‐055,GENERIC MULTI‐ENGINE PISTON (SIMILAR PA‐34),,,,,FNPT Level II,
ES‐3A‐056,GENERIC SINGLE‐ENGINE PISTON (SIMILAR TB‐20),,,,,FNPT Level I,
ES‐3H‐012,GENERIC MULTI‐ENGINE TURBINE (SIMILAR EC‐135),,,,,FNPT Level III MCC,
ES‐3A‐057,GENERIC SINGLE‐ENGINE PISTON (SIMILAR P‐2010),,,,,FNPT Level I,
ES‐3A‐058,GENERIC MULTI‐ENGINE PISTON (SIMILAR P‐2006 T),,,,,FNPT Level II,
ES‐2A‐006,A320,,,,,FTD Level 1,
ES‐3A‐059,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR A320),,,,,FNPT Level II MCC,
ES‐1A‐039,B737‐800,,,,,FFS Level D,
ES‐3A‐060,GENERIC SINGLE‐ENGINE PISTON (SIMILAR TB‐20),,,,,FNPT Level II,
ES‐3A‐061,GENERIC MULTI‐ENGINE PISTON (SIMILAR PA‐34),,,,,FNPT Level II,
ES‐3A‐062,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR A320),,,,,FNPT Level II MCC,
ES‐3A‐066,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR A320),,,,,FNPT Level II MCC,
ES‐3A‐067,GENERIC MULTI‐ENGINE PISTON (SIMILAR DA‐42 VI),,,,,FNPT Level II,
ES‐3A‐069,GENERIC MULTI‐ENGINE PISTON (SIMILAR P‐2006 T),,,,,FNPT Level II,
ES‐3A‐068,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR A320),,,,,FNPT Level II MCC,
ES‐3A‐070,GENERIC MULTI‐ENGINE PISTON (SIMILAR DA‐42 NG),,,,,FNPT Level II MCC,
ES‐3A‐071,GENERIC MULTI‐ENGINE PISTON (SIMILAR P‐2006 T),,,,,FNPT Level II MCC,
ES‐3A‐072,GENERIC SINGLE ENGINE PISTON LIGHT WEIGHT (MTOW 1.370 KG),,,,,FNPT Level I,
ES‐3A‐073,GENERIC SINGLE ENGINE PISTON LIGHT WEIGHT (MTOW 2.110 KG),,,,,FNPT Level II,
ES‐3A‐074,GENERIC TURBOFAN MEDIUM WEIGHT (MTOW 77.000 KG),,,,,FNPT Level II MCC,
ES‐1A‐040,A320‐214,,,,,FFS Level D,
ES‐1A‐041,B757‐200,,,,,FFS BG,
ES‐1A‐042,A400‐M,,,,,FFS Level D,
ES‐1A‐043,A400‐M,,,,,FFS Level D,
ES‐3A‐076,GENERIC MULTI‐ENGINE PISTON (SIMILAR DA‐42 VI),,,,,FNPT Level II MCC,
ES‐1A‐044,A330CEO,,,,,FFS Level D,
ES‐1A‐045,A330NEO,,,,,FFS Level D,
ES‐3A‐077,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR B737),,,,,FNPT Level II MCC,
ES‐3A‐078,GENERIC SINGLE ENGINE PISTON,,,,,FNPT Level II,
ES‐3A‐079,GENERIC MULTI‐ENGINE PISTON,,,,,FNPT Level II,
ES‐3A‐080,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR A320),,,,,FNPT Level II MCC,
ES‐3A‐081,GENERIC SINGLE‐ENGINE PISTON (SIMILAR TB‐20),,,,,FNPT Level II,
ES‐3A‐082,GENERIC MULTI‐ENGINE PISTON (SIMILAR PA‐34),,,,,FNPT Level II,
ES‐3A‐083,GENERIC SINGLE ENGINE PISTON LIGHT WEIGHT (MTOW 1.370 KG),,,,,FNPT Level I,
ES‐3A‐084,GENERIC MULTI‐ENGINE PISTON LIGHT WEIGHT (MTOW 2.110 KG),,,,,FNPT Level II,
ES‐3A‐085,GENERIC TURBOFAN MEDIUM WEIGHT (MTOW 77.000 KG),,,,,FNPT Level II MCC,
ES‐3A‐086,GENERIC MULTI‐ENGINE PISTON (SIMILAR P‐2006 T),,,,,FNPT Level II,
ES‐3A‐087,GENERIC SINGLE‐ENGINE PISTON (SIMILAR PA‐28),,,,,FNPT Level II,
ES‐3A‐090,GENERIC SINGLE‐ENGINE PISTON (SIMILAR TB‐20),,,,,FNPT Level II,
ES‐3A‐091,GENERIC MULTI‐ENGINE PISTON (SIMILAR PA‐34),,,,,FNPT Level II,
ES‐3A‐092,GENERIC TURBOFAN MEDIUM WEIGHT (MTOW 77.000 KG),,,,,FNPT Level II MCC,
ES‐3A‐093,GENERIC MULTI‐ENGINE PISTON (SIMILAR PA‐34),,,,,FNPT Level II,
ES‐3A‐094,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR A320),,,,,FNPT Level II MCC,
ES‐2H‐005,EC‐135,,,,,FTD Level 2,
ES‐3A‐095,GENERIC SINGLE‐ENGINE PISTON (SIMILAR B76),,,,,FNPT Level II MCC,
ES‐1A‐046,C‐295,,,,,FFS Level D,
ES‐1A‐047,A330‐243,,,,,FFS Level D,
ES‐3A‐096,GENERIC MULTI‐ENGINE PISTON (SIMILAR P‐2006 T),,,,,FNPT Level II,
ES‐3A‐097,GENERIC SINGLE‐ENGINE PISTON (SIMILAR C172),,,,,FNPT Level II,
ES‐1A‐048,A400‐M,,,,,FFS Level D,
ES‐3H‐013,GENERIC MULTI‐ENGINE TURBINE (SIMILAR EC‐135),,,,,FNPT Level 2 MCC,
ES‐3A‐099,GENERIC MULTI‐ENGINE PISTON (SIMILAR PA‐34),,,,,FNPT Level II,
ES‐3A‐100,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR A320),,,,,FNPT Level II MCC,
ES‐1A‐049,A400‐M,,,,,FFS Level D,
