easa_code,serial_number,eval_type,aircraft_man,aircraft_type,sim_man,qualification,location
CH-123,CAE-2NF7,R,Airbus,AS 365N2 + variants,Thomson Training & Simulation,D,Marseille Airport
CH-123,CAE-2NF7,R,Airbus,B747-800 + variants,CAE,D,Frankfurt/Main
CH-123,CAE-2NF7,R,Airbus,A320-200,CAE,D,Berlin
CH-130,18022,R,Embraer,Generic Multi Engine Piston + variants,Diamond Simulation GmbH & Co KG,Type II,Helsinki-Vantaa airport
CH-130,18022,R,Embraer,EMB 145 Regional Jet,CAE,D,Berlin
CH-130,18022,R,Embraer,EC 135 P + variants,INDRA,B,Weßling
CH-130,18022,R,Embraer,BK 117D-3,Reiser Simulation and Training,D,Weßling
CH-130,18022,R,Embraer,Not Applicable,Alsim,Type II MCC,Catania
CH-131,CAE-2T4Z-117908,R,Airbus,Generic Multi Engine Jet,Alsim,Type II MCC,Catania
CH-131,CAE-2T4Z-117908,R,Airbus,Generic Multi Engine Piston,Mechtronix,Type II,Salzburg
CH-131,CAE-2T4Z-117908,R,Airbus,Generic Multi Engine Turbine,Mechtronix,Type II MCC,Salzburg
CH-131,CAE-2T4Z-117908,R,Airbus,Not Applicable,Aerotask GmbH,Type II MCC,Wiener Neustadt
CH-131,CAE-2T4Z-117908,R,Airbus,C525 + variants,Mechtronix,2,Neusiedl am See
CH-161,1001,R,Eurocopter,C525 + variants,Mechtronix,Type II MCC,Neusiedl am See
CH-161,1001,R,Eurocopter,A350-900,CAE,D,Helsinki-Vantaa airport
CH-161,1001,R,Eurocopter,B737-800,CAE,D,Schiphol-Oost
CH-161,1001,R,Eurocopter,ATR 72 + variants,Mechtronix,D,Vantaa
CH-161,1001,R,Eurocopter,ATR 72 + variants,Mechtronix,D,Vantaa
CH-162,1001-46 965 741,R,Airbus Helicopters,B737-800,CAE,D,Schiphol-Oost
CH-162,1001-46 965 741,R,Airbus Helicopters,A350-900,CAE,D,Paris CDG
CH-162,1001-46 965 741,R,Airbus Helicopters,B737-800,Thales Training and Simulation,D,Berlin
CH-162,1001-46 965 741,R,Airbus Helicopters,A340-300,CAE,D,Frankfurt/Main
CH-162,1001-46 965 741,R,Airbus Helicopters,Pilatus PC 24,FSI,D,Le Bourget Airport
CH-163,001,R,Agusta Westland,B737-800,Thales Training and Simulation,D,Berlin
CH-163,001,R,Agusta Westland,Generic Multi Engine Piston,Alsim,Type II,Bremen
CH-163,001,R,Agusta Westland,Generic Multi Engine Piston + variants,Alsim,Type II,Bremen
CH-163,001,R,Agusta Westland,42-300,Thomson Training & Simulation,C,Toulouse Airport
CH-163,001,R,Agusta Westland,72-500 + variants,Thomson Training & Simulation,D,Toulouse
CH-213,15798-001,I,Pilatus,B737-300,CAE,D,Berlin
CH-213,15798-001,I,Pilatus,C525 + variants,Mechtronix,2,Bremen
CH-213,15798-001,I,Pilatus,C525 + variants,Mechtronix,Type II MCC,Bremen
CH-213,15798-001,I,Pilatus,B737-300,CAE,DG,Paris CDG
CH-213,15798-001,I,Pilatus,EC 135 + variants,Frasca Internatinal Inc.,Type III MCC,Sankt Augustin
CH-345,DSIM-DA42NG-003,R,Not Applicable,AS 332 L1,Frasca Internatinal Inc.,Type III MCC,Sankt Augustin
CH-345,DSIM-DA42NG-003,R,Not Applicable,AS 332 L1,Frasca Internatinal Inc.,2,Sankt Augustin
CH-345,DSIM-DA42NG-003,R,Not Applicable,EC 135 T + variants,Frasca Internatinal Inc.,2,Sankt Augustin
CH-345,DSIM-DA42NG-003,R,Not Applicable,B737-800,CAE,D,Schiphol-Oost
CH-345,DSIM-DA42NG-003,R,Not Applicable,Generic Multi Engine Turbine,ENTROL,Type II MCC,Strausberg
CH-346,15798-001,I,Pilatus,C525 + variants,Mechtronix,Type II MCC,Dortmund
CH-346,15798-001,I,Pilatus,C525 + variants,Mechtronix,Interim level C,Dormtund
CH-346,15798-001,I,Pilatus,Generic Multi Engine Turbine + variants,ELITE Simulation Solutions AG,Type II MCC,Mönchengladbach
CH-346,15798-001,I,Pilatus,C510 (Citation Mustang),FSI,D,Roma
CH-346,15798-001,I,Pilatus,B737-800 + variants,Rockwell Collins,D,Malpensa
DE-1A-001,T3098,R,Boeing,Not Applicable + variants,Alsim,2,Aeroporto Roma Urbe
DE-1A-007,CAE # 017,R,Boeing,Not Applicable + variants,Alsim,2,Aeroporto Roma Urbe
DE-1A-014,2LB2.50.4.899,R,Airbus,Not Applicable + variants,Alsim,MCC,Aeroporto Roma Urbe
DE-1A-021,2LF1.01.2.899,R,Canadair,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Type II,Vienna
DE-1A-023,S/N 007,R,Airbus,Generic Multi Engine Piston,Alsim,Type II,Salzburg
DE-1A-024,2L81.50.4.899,R,Airbus,Generic Multi Engine Turbine,Alsim,Type II MCC,Salzburg
DE-1A-025,94FZ09D,R,Dornier,Not Applicable + variants,ENTROL,MCC,Lugo
DE-1A-030,T2790,R,Boeing,CL415,TRU Simulation,D,Malpensa (LIMC)
DE-1A-034,2NV2-279,R,Airbus,Not Applicable + variants,Diamond Simulation GmbH & Co KG,Type II,Wiener Neustadt
DE-1A-035,CAE 2R49-331,R,Boeing,Not Applicable + variants,6MOUV,1,Hörsching
DE-1A-039,56614825-040,R,Boeing,A320-200,SIM Industries,D,Paris CDG
DE-1A-040,CAE 2RL5-394,R,Airbus,Bell 412 EP,ENTROL,3,Kirchanschöring
DE-1A-046,61131344-040,R,Airbus,Generic Multi Engine Piston,Alsim,Type II,Jesenwang
DE-1A-047,2RGH-465,R,Airbus,Generic Single Engine Piston,Alsim,Type II,Jesenwang
DE-1A-048,T3939,R,Boeing,A330-200 + variants,CAE,D,Toulouse
DE-1A-049,T4253,R,Boeing,A330-200 + variants,CAE,D,Toulouse
DE-1A-051,CAE 123 724,R,Airbus,A330-200 + variants,CAE,D,Toulouse
DE-1A-066,CAE 2W10-715,R,Airbus,228,SIMTEC,Special Category,Braunschweig
DE-1A-069,2WAV,R,Airbus,AS 332 L 1 + variants,Thales Training and Simulation,D,Marseille Airport
DE-1A-075,CAE S/N 2T93,R,Boeing,A320-200,FAROS,1,Essen
DE-1A-078,CAE 2TF8,R,Airbus,AS 332 L 2 + variants,Thales Training and Simulation,D,Marseille Airport
DE-1A-079,CAE 2TF8,S,Airbus,F100 + variants,FSI,CG,Dinard Airport
DE-1A-083,5,R,Bombardier,A320-200,SIM Industries,D,Paris CDG
DE-1A-085,T4912,R,Airbus,EC 135 T + variants,CAE Elektronik GmbH,A,Bueckeburg
DE-1A-087,2WB5,R,Airbus,EC 135 T + variants,CAE Elektronik GmbH,A,Bueckeburg
DE-1A-091,S/N 2THP-1050,R,Airbus,EC 135 T + variants,CAE Elektronik GmbH,A,Bueckeburg
DE-1A-092,2TFJ,R,Boeing,C525 + variants,Mechtronix,Type II MCC,Essen
DE-1A-093,2THX-1103,R,Embraer,B787-9,Thales Training and Simulation,D,Schiphol-Oost
DE-1A-094,SIM SBV 13/19,R,Boeing,C525 + variants,Mechtronix,2,Essen
DE-1A-096,2T4M,R,Airbus,C525 + variants,Mechtronix,2,Essen
DE-1A-097,2395,R,Cessna,C525 + variants,Mechtronix,Type II MCC,Essen
DE-1A-098,2TY3,R,Bombardier,Generic Single Engine Piston,Alsim,Type II,Jesenwang
DE-1A-101,SN-00002504,R,Airbus,Generic Multi Engine Piston,Alsim,Type II,Jesenwang
DE-1A-102,CAE S/N 113567,R,Airbus,Bell 412 EP,ENTROL,3,Kirchanschöring
DE-1A-103,CAE 112529,R,Airbus,A350-900,CAE,1,Roissy CDG
DE-1A-103,CAE 112529,R,Airbus,A320-200 + variants,CAE,D,Frankfurt/Main
DE-1A-108,6,R,Dornier,A320-200 + variants,Sim International B.V.,D,Vagar Airport
DE-1A-109,2TY3,R,Airbus,A320-200,CAE,D,Frankfurt/Main
